author-name,work-title,earliest-publication-date,country,source,bibacme-work-id,cligs-idno,fictionality,narrativity,prose,>82p,">15,500w",own-structure,readership,realistic,note
"Torrado y Quiroga, Ramón","Estephoro el Pirata","1839","","Trelles","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Pardo Pimentel, Nicolás","Matilde o una víctima","1839","","Trelles","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Anónimo","El pensamiento","1878","","WikimediaCommons","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Varela, Luis Vicente","El doctor Whüntz","1880","Argentina","Lichtblau","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Ugarte, Manuel","La sombra de la madre","1910","Argentina","Lichtblau","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Ugarte, Manuel","La leyenda del gaucho","1910","Argentina","Lichtblau","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Mendía, José M.","Candidato para la horca","1899","","WikimediaCommons","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Sylva, Victorio","Guacho","1895","","WikimediaCommons","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Sioen, Aquiles","Buenos Aires en el año 2080","1879","Argentina","Lichtblau","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Silva, Domingo G.","Adelberto o el mártir de una pasión","1881","Argentina","Lichtblau","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Silva, Domingo G.","Lila, o la diosa de la isla","1881","Argentina","Lichtblau","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Sánchez, Fortunato A.","El ciego Rafael","1870","Argentina","Lichtblau","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"anómimo","El Rey.... Y se inclinaban a su paso, diciendo ¡Viva el Rey!","","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"anómimo","Adelisa","","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"anómimo","Las Botitas de María","1873","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"anómimo","El Chacho y el Incógnito, o los dos Ladrones","1861","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"anómimo","El Licenciado D. Tadeo Cristóbal","1850","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"anómimo","El Incógnito de la Cabaña","1838","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Ancona, Eligio","Uno de tantos","","","InternetArchive","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Alva, Manuel","La trinitaria","1851","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Altamirano, Ignacio Manuel","Las tres flores","1867","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Bravo López, Bernabé","A muerte","1892","","Iguiniz","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Barrios de los Ríos, José María","El País de las Perlas","1908","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Barrera Peniche, Alfonso","La Reconciliación","1902","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Barrera Peniche, Alfonso","La noche de Bodas","1902","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Barrera Peniche, Alfonso","La Gruta de los Enamorados","1902","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Balbontín, Manuel","El Invierno","1873","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Chavero, Alfredo","El Conde Palákis","1882","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Cuéllar, José Tomás de","Novela por vapor","1869","","ELEM","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Cuéllar, José Tomás de","Las posadas","1871","México","ELEM TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Cuéllar, José Tomás de","El hombre-mujer","1872","","ELEM","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Cuéllar, José Tomás de","El carnaval","1851","","ELEM","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Cuéllar, José Tomás de","La noche buena","1890","México","TorresRioseco","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Cordero, Salvador","Memorias de un Juez de Paz","1910","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Ceballos, Ciro B.","El delito","1896","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Ceballos, Ciro B.","Monografía","1898","","NovelaCorta","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Ceballos, Ciro B.","Un adulterio","1903","México","TorresRioseco","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Castro, Juan S.","Fray Antonio de la Concepción","1888","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Castillo, Rafael del","La muerte de una copa","1886","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Castillo, Rafael del","La carpeta verde","1886","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Castillo, Rafael del","Los que lloran","1886","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Castillo, Rafael del","Doña Consuelo","1886","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Castillo, Florencio M. del","Culpa","1872","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Castillo, Florencio M. del","Dos horas en el Hospital de San Andrés","1849","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Castillo, Florencio M. del","¡Hasta el cielo!","1849","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Castillo, Florencio M. del","La Corona de Azucenas","1849","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Castillo, Florencio M. del","Amor y desgracia","1849","México","TorresRioseco","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Carrión, Antonio","Doña Violante de Ávila","","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Carrillo y Ancona, Crescencio","El fraile de la calavera o la centuria de un gran pelado,
                        1792-1892","1892","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Carrillo y Ancona, Crescencio","El árbol de luz","1887","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Carrillo y Ancona, Crescencio","El rayo de sol","1892","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Carrillo y Ancona, Crescencio","El santuario de la aldea","1886","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Carrillo y Ancona, Crescencio","Historia de Welinna","1862","México","TorresRioseco","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Campo y Valle, Ángel de","El de los claveles dobles","","","NovelaCorta","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Camberos, Manuela G. de","La Venganza de una Madre","1908","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Calderón de Becerra, Pablo","Margarita","1887","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Domínguez, Manuel","Fátima","1907","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Díaz Covarrubias, Juan","La sensitiva","1859","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Esteva, Roberto A.","El violín de White","1873","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Esteva, Roberto A.","Plumadas sueltas","1873","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Esteva, Roberto A.","Una mujer sin corazón","1868","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Enziso, Cenobio I.","Camelias rojas","1894","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Auber de Noya, Virginia Felicia","Un casamiento original","","Cuba","DLC","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Auber de Noya, Virginia Felicia","Un aria de Bellini","","Cuba","DLC","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Borrero Echeverría, Esteban","El ciervo encantado","1905","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Borrero Echeverría, Esteban","Calófilo","1879","","ProsaModernista","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Bobadilla, Emilio","Fiebre de análisis","1900","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Bobadilla, Emilio","Quico el Sapo","1900","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Bobadilla, Emilio","La negra","1900","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Bobadilla, Emilio","Las larvas","1900","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Bobadilla, Emilio","La fuga","1900","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Cruz, Manuel de la","La hija del montero","1885","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Costales y Govantes, Manuel","Florentina","1856","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Castellanos, Jesús","Cabeza de familia","1909","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Castellanos, Jesús","Una heroina","1909","Cuba","DLC","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Castellanos, Jesús","La manigua sentimental","1910","Cuba","DLC","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Calcagno, Francisco","Tretas mercantiles","1860","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Calcagno, Francisco","Mis primeros amores","1860","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Calcagno, Francisco","Las Lazo Mina","1893","Cuba","DLC","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Guerrero y Pallarés, Teodoro","Emma","1859","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Guerrero y Pallarés, Teodoro","Mercedes","1859","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Guerrero y Pallarés, Teodoro","Tula","1859","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Guerrero y Pallarés, Teodoro","Rosario","1859","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Guerrero y Pallarés, Teodoro","Belén","1859","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Guerrero y Pallarés, Teodoro","Virginia","1859","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Güell y Renté, José","El Santo de Guanabacoa","1861","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Güell y Renté, José","Vendedores de carne humana","1861","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Güell y Renté, José","Izua","1861","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Güell y Renté, José","El Cacique de Cibao","1861","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Güell y Renté, José","Sterripa","1861","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Güell y Renté, José","Kena-Kena","1861","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Güell y Renté, José","La leyenda de Tinima","1861","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"González, Manuel Dionisio","El indio de Cubanacán; o, Las brujas de Peña Blanca","1848","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Gómez de Avellaneda, Gertrudis","El cacique de Turmequé","1871","","CervantesVirtual","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Gómez de Avellaneda, Gertrudis","La ondina del lago azul","1871","","CervantesVirtual","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Gómez de Avellaneda, Gertrudis","La flor del ángel","1857","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Gómez de Avellaneda, Gertrudis","La baronesa de Joux","1844","Cuba","DLC","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Iglesia, Álvaro de la","De Navidad","1900","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Lozano Casado, Miguel","Covadonga","1907","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López de Briñas, Felipe","La cruz del misionero","1847","Cuba","DLC","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Quiroga, Guillermo","Una sanjuanina, o sea Carolina","1881","Argentina","Lichtblau","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Quesada, Vicente Gregorio","Crimen y expiación","1865","Argentina","Lichtblau","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Pelliza de Sagasta, Josefina","La chiriguana","1877","Argentina","Lichtblau","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Paz, Carlos Luis","¡Santa y mártir de veinte años!","1857","Argentina","Lichtblau","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Payró, Roberto","El casamiento de Laucha","1906","Argentina","Lichtblau","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Frías y Soto, Hilarión","Vulcano","1882","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Frías, Heriberto","Realidades del pueblo","","México","TorresRioseco","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Gutiérrez Nájera, Manuel","Aventuras de Manon","","México","TorresRioseco","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Gómez Vergara, Joaquín","Los rotos","1871","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Gómez Vergara, Joaquín","El médico","1871","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Gómez Vergara, Joaquín","El matrimonio","1871","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Gómez Vergara, Joaquín","El baile de confianza","1871","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Gómez Vergara, Joaquín","Quien mal anda, mal acaba","1870","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Gómez Vergara, Joaquín","La puerta del cielo","1872","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"García, Genaro","Páginas arrancadas de una historia. ¡Pobre Belém!","1890","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"García, Genaro","Inelda","1886","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Gamboa, Federico","El primer caso","1889","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Gamboa, Federico","La excursionista","1889","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Gamboa, Federico","El mechero de gas","1889","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Galindo, Humberto","El ídolo","1906","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Hernández, Adela","Margarita","1898","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Inclán, Luis Gonzaga","Recuerdos del Chamberín","1860","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Jens, Federico Carlos","De la muerte a la vida","1886","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","El billete de lotería","1903","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","El pro y el contra","1903","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","Un drama de tres horas","1903","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","El brazo del coronel","1903","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","Suprema fineza","1903","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","Orvañanos","1903","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","Sor María Margarita","1903","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","La horma de su zapato","1903","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","El dolor y la honra","1903","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","La Fuga","1900","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","El Brazalete","1900","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","La Suerte del Bueno","1900","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","El proscripto","1903","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","El rector y el colegial","1903","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","Pía","1903","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","Luz de rayo","1903","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","Un Pacto con el Diablo","1900","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","El Arpa","1900","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","Adalinda","1900","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","En Diligencia","1900","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"López Portillo y Rojas, José","El Espejo","1900","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Leduc, Alberto","María del Consuelo","1894","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Leduc, Alberto","Un calvario","1894","México","TorresRioseco","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Lavat, Juan","Natalia","1872","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Lacunza, José María","Netzula","1837","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Moreno, Antonio de P.","Ecos de ultratumba o epílogo de un drama","","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Morales, Vicente","Angela","1874","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Morales, Vicente","Ernestina","1873","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Méndez Rivas, Federico","María o un amor contrariado","1888","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
